id,host_id,host_name,latitude,longitude,room_type,price,minimum_nights,last_review,calculated_host_listings_count,availability_365
45323643,48165024,Capital Residencies,51.49773,-0.14537,Entire home/apt,183.00 ,2,2020/12/9,318,274
45325275,139652196,Atiq,51.55214,-0.0563,Entire home/apt,90.00 ,1,2021/8/22,1,344
45326946,195357795,Elizabeth,51.53375,-0.23328,Private room,24.00 ,14,2020/11/3,5,0
45327626,13770205,Stephen,51.51,-0.06436,Entire home/apt,150.00 ,30,2021/7/7,31,0
45328572,257348764,Katie,51.49987,-0.31482,Private room,55.00 ,2,2020/10/18,2,0
45329000,24331770,Gregory,51.51669,-0.18181,Entire home/apt,51.00 ,8,2021/3/14,1,0
45329282,21779666,Dulcie,51.42247,-0.173,Entire home/apt,60.00 ,7,2021/6/27,1,89
45333081,365079341,Ozgur,51.59377,-0.10146,Private room,40.00 ,1,2020/10/26,2,0
45338254,3408354,James,51.52755,-0.06785,Entire home/apt,119.00 ,3,2021/6/6,1,27
45339680,362918669,Chris,51.52056,-0.10329,Entire home/apt,261.00 ,1,2021/9/3,1,264
45339793,133204013,Laura,51.49447,-0.13011,Entire home/apt,130.00 ,3,2020/10/29,4,0
45340009,60103501,Gaia,51.54528,-0.00865,Entire home/apt,121.00 ,3,2021/8/15,9,312
45341674,7505762,Juan,51.53429,-0.07359,Entire home/apt,135.00 ,2,2021/8/22,1,9
45341698,299222427,Milena,51.54256,-0.14346,Entire home/apt,155.00 ,20,2021/7/9,24,87
45343116,112853959,Lou,51.49753,-0.22962,Entire home/apt,79.00 ,4,2021/6/11,5,243
45343537,105564995,UnderTheDoormat,51.53205,-0.20673,Entire home/apt,196.00 ,1,2021/9/6,47,12
45344799,42755215,Shiyang,51.47629,-0.14559,Entire home/apt,267.00 ,1,2020/10/12,3,129
45347102,215890198,Susan,51.59242,0.16493,Private room,20.00 ,1,2021/9/1,1,349
45356654,35757165,Joanne,51.48894,-0.22774,Entire home/apt,236.00 ,2,2021/2/15,3,46
45357137,366346421,Subramaniam,51.51266,-0.06614,Entire home/apt,179.00 ,7,2020/10/7,9,304
45357324,366346421,Subramaniam,51.5133,-0.06593,Entire home/apt,239.00 ,7,2020/10/26,9,304
45357421,366346421,Subramaniam,51.51182,-0.06765,Entire home/apt,239.00 ,7,2020/10/22,9,304
45357619,299222427,Milena,51.542557,-0.143459,Entire home/apt,160.00 ,20,2021/5/1,24,49
45357841,1432477,City Relay,51.49405,-0.18379,Entire home/apt,134.00 ,1,2020/10/24,89,334
45358883,10682631,St Athans Hotel,51.52412,-0.12692,Private room,73.00 ,1,2021/5/26,11,365
45359140,366694108,Mag,51.51287,-0.13007,Entire home/apt,120.00 ,4,2021/5/7,2,322
45359496,2086504,Celia,51.45205,-0.1874,Private room,50.00 ,2,2020/10/2,1,39
45360498,34861118,Miriam,51.52151,-0.18016,Private room,35.00 ,1,2021/8/11,2,198
45360952,156943652,Maria-Ruxandra,51.52295,-0.18041,Private room,40.00 ,1,2021/2/6,4,240
45364355,21631121,Tim,51.39716,-0.06968,Entire home/apt,59.00 ,2,2021/6/28,1,18
45370897,7091624,Karin,51.45983,-0.20283,Entire home/apt,300.00 ,14,2020/10/18,3,0
